AtcoCode,CommonName,LocalityName,Latitude,Longitude,Easting,Northing
700000006223,Duneane Cottages,Antrim,54.75915084,-6.42683519,301326,391272
700000006224,Green Shades,Antrim,54.75487677,-6.43256181,300968,390788
700000006225,Lismacloskey Road,Antrim,54.75062898,-6.42713457,301328,390323
700000006226,Duneane Ps,Antrim,54.75089436,-6.41508725,302103,390370
700000006227,Ballymatoskerty Road,Antrim,54.75755549,-6.39829855,303167,391136
700000006228,Ballydunmaul Road,Antrim,54.75642138,-6.37920562,304399,391038
700000006229,Craigmore,Antrim,54.75192789,-6.36237741,305494,390563
700000006230,Grant Avenue,Antrim,54.7496028,-6.33022817,307570,390353
700000006231,Randalstown Central Ps,Antrim,54.74978785,-6.3254058,307880,390381
700000006232,The Junction Antrim,Antrim,54.72921444,-6.23055061,314045,388241
700000006234,Tesco,Antrim,54.71561829,-6.21320329,315201,386756
700000006235,Newcastle Bus Station,Newcastle,54.2150844,-5.8884086,337798,331630
700000006236,Newcastle Primary School,Newcastle,54.21497091,-5.890700155,337649,331613
700000006237,Bernagh Green,Newcastle,54.2185386,-5.8914149,337591,332009
700000006238,Burrenview Court,Newcastle,54.2222925,-5.892657544,337497,332424
700000006239,Sunnyholme,Newcastle,54.2247887,-5.8946123,337361,332698
700000006240,Kidds Corner,Newcastle,54.2302745,-5.9048706,336674,333289
700000006241,Cup & Saucer,Newcastle,54.2344328,-5.9140757,336060,333734
700000006242,Church Street,Downpatrick,54.32973848,-5.71580338,348646,344741
700000006243,Pillar Well Lane,Downpatrick,54.33203787,-5.71575276,348641,344997
700000006244,New Bridge Street,Downpatrick,54.3353045,-5.7168522,348555,345357
700000006245,Lecale Lodge,Downpatrick,54.3401954,-5.7072075,349164,345922
700000006246,Mearne Road,Downpatrick,54.34457949,-5.69907716,349680,346428
700000006247,St Patrick's Circle,Downpatrick,54.3437143,-5.6729872,351376,346387
700000006248,Loughview,Downpatrick,54.3517945,-5.6456864,353121,347345
700000006249,St Patrick's Road,Downpatrick,54.3522673,-5.6426435,353317,347404
700000006250,Myra Road,Downpatrick,54.3545244,-5.6356489,353764,347670
700000006251,Bannaghan Road,Downpatrick,54.3611256,-5.6023346,355904,348478
700000006252,Ballyculter Crossroads,Downpatrick,54.3569608,-5.5809283,357311,348062
700000006253,Black Causeway Road,Downpatrick,54.3641329,-5.5652981,358300,348895
700000006254,St Joseph's Primary School,Downpatrick,54.3694681,-5.5577003,358773,349506
700000006255,Strangford Square,Downpatrick,54.3711572,-5.5561421,358868,349698
700000006256,St Joseph's Primary School,Downpatrick,54.3692477,-5.5577579,358770,349481
700000006257,Black Causeway Road,Downpatrick,54.3642056,-5.5653912,358293,348903
700000006258,Ballyculter Crossroads,Downpatrick,54.3568335,-5.5808213,357319,348048
700000006259,Bannaghan Road,Downpatrick,54.36118,-5.602476,355895,348484
700000006260,Myra Road,Downpatrick,54.354547,-5.635321,353785,347674
700000006261,Loughview,Downpatrick,54.3516789,-5.6458259,353113,347332
700000006262,St Patrick's Circle,Downpatrick,54.3435967,-5.6727659,351391,346374
700000006263,Mearne Road,Downpatrick,54.34454388,-5.69909453,349679,346424
700000006264,Lecale Lodge,Downpatrick,54.33921532,-5.70948027,349023,345809
700000006265,Pillar Well Lane,Downpatrick,54.3327218,-5.7157858,348633,345072
700000006266,Church Street,Downpatrick,54.32937856,-5.71577721,348649,344701
700000006268,Downpatrick Bus Station,Downpatrick,54.32570289,-5.72002408,348386,344283
700000006269,St Patrick's Avenue,Downpatrick,54.3258361,-5.7159276,348649,344306
700000006270,Killough Road,Downpatrick,54.3227358,-5.7113742,348956,343970
700000006271,Flying Horse,Downpatrick,54.3164823,-5.7101921,349056,343277
700000006272,Ballymote House,Downpatrick,54.2991839,-5.6949797,350109,341384
700000006273,Old Course Road,Downpatrick,54.2962309,-5.6898408,350454,341066
700000006274,Bright Crossroads,Downpatrick,54.2766339,-5.6694778,351851,338929
700000006275,Ballylig Road,Downpatrick,54.2659887,-5.657868,352647,337769
700000006276,Castle Street,Downpatrick,54.2534022,-5.6424831,353696,336402
700000006277,Quay Lane,Downpatrick,54.2512436,-5.6401822,353854,336167
700000006278,Coney Island Caravan Park,Downpatrick,54.2639287,-5.6355481,354108,337589
700000006279,Coney Island,Downpatrick,54.2565059,-5.6240479,354885,336788
700000006280,High Street,Downpatrick,54.2603044,-5.6129868,355592,337235
700000006281,Kildare Street,Downpatrick,54.259225,-5.606924,355991,337128
700000006282,Ardglass Harbour,Downpatrick,54.2614437,-5.6080633,355908,337372
700000006283,Whiterock Drive,Downpatrick,54.264455,-5.608737,355853,337706
700000006284,Seaview,Downpatrick,54.2662531,-5.6066603,355982,337911
700000006285,Ardtole Corner,Downpatrick,54.2736821,-5.5990002,356452,338754
700000006286,St Mary's Church,Dungannon,54.2846113,-5.587569,357155,339996
700000006287,St Michaels Park,Downpatrick,54.2876424,-5.5822182,357492,340345
700000006288,Ringawoody Crossroads,Downpatrick,54.3014313,-5.5653784,358536,341918
700000006289,Ballyhornan,Downpatrick,54.3019993,-5.5560704,359139,342002
700000006290,Bishopscourt,Downpatrick,54.301953,-5.569255,358281,341967
700000006291,Church Road,Downpatrick,54.2991687,-5.5903961,356916,341610
700000006292,Bishops Court Crossroads,Downpatrick,54.3089929,-5.604395,355968,342672
700000006293,Ballycruttle Road,Downpatrick,54.3149123,-5.6296819,354300,343275
700000006294,St Joseph's Square,Downpatrick,54.3234833,-5.6525704,352779,344179
700000006295,Ballyalton Park,Downpatrick,54.3270687,-5.6608985,352224,344560
700000006296,4-10 Ballyhornan Road,Downpatrick,54.3262258,-5.6997576,349699,344383
700000006297,Ardglass Road,Downpatrick,54.32504272,-5.70322743,349481,344245
700000006298,Lecale Trinity Grammar,Downpatrick,54.3235632,-5.7086089,349133,344068
700000006299,St Patrick's Church,Downpatrick,54.324672,-5.7145307,348744,344179
700000006300,St Patrick's Avenue,Downpatrick,54.3256419,-5.715979,348646,344284
700000006301,Downpatrick Racecourse,Downpatrick,54.3168526,-5.7296092,347791,343277
700000006302,Ballyduggan Crossroads,Downpatrick,54.3083265,-5.7473793,346665,342291
700000006303,Lake Road,Downpatrick,54.3056321,-5.7625247,345689,341960
700000006304,107-118 Ballyduggan Road,Downpatrick,54.302884,-5.774387,344927,341630
700000006305,Ballykilbeg Road,Downpatrick,54.3017307,-5.7780175,344695,341494
700000006306,Ballykeel Road,Downpatrick,54.293775,-5.7676741,345396,340630
700000006307,Vianstown Road,Downpatrick,54.286596,-5.7619338,345795,339843
700000006308,Digneys Corner,Downpatrick,54.2570292,-5.7799402,344726,336515
700000006309,Marian Park,Downpatrick,54.2579044,-5.7935899,343834,336585
700000006310,Commons Road,Downpatrick,54.2581211,-5.7983356,343524,336599
700000006311,Marian Park,Downpatrick,54.2580051,-5.7940157,343806,336595
700000006312,109 - 113 Commons Road,Downpatrick,54.2576859,-5.7866715,344285,336574
700000006313,Digneys Corner,Downpatrick,54.2571003,-5.7799519,344725,336523
700000006314,St Joseph's Primary School,Downpatrick,54.27150909,-5.78797493,344155,338111
700000006315,Four Roads Inn,Downpatrick,54.27419058,-5.79308217,343813,338399
700000006316,Blackstaff Bridge,Downpatrick,54.28634655,-5.81321153,342460,339711
700000006317,Ardilea Road,Downpatrick,54.28557759,-5.82384909,341770,339604
700000006318,Ford Road,Downpatrick,54.27647877,-5.81064807,342661,338618
700000006319,Commons Road,Downpatrick,54.27215668,-5.80817518,342837,338142
700000006320,St Joseph's Primary School,Downpatrick,54.27171443,-5.78790252,344159,338134
